County, FIPS,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,CancerType
Georgia,13000,62.8,62.1,63.5,6743.00,falling,-2,-2.5,-1.5,Lung & Bronchus
US,0,58.3,58.2,58.4,221568.00,falling,-2,-2.2,-1.9,Lung & Bronchus
Crawford,13079,104,82.9,129.4,18.00,stable,0.8,-1.8,3.4,Lung & Bronchus
Polk,13233,102.1,89.8,115.6,52.00,stable,-0.3,-2,1.5,Lung & Bronchus
Irwin,13155,97.9,74.5,127,12.00,stable,1.4,-1.7,4.7,Lung & Bronchus
Brantley,13025,97.7,80.1,118.3,23.00,stable,0.6,-1.9,3.2,Lung & Bronchus
Worth,13321,96.5,80.8,114.8,28.00,stable,0.4,-1.9,2.8,Lung & Bronchus
Heard,13149,95.1,74.2,120.7,15.00,stable,-0.6,-3,1.9,Lung & Bronchus
Glascock,13125,95,56.4,152.4,4.00,*,*,*,*,Lung & Bronchus
Turner,13287,92.7,69.3,122.4,11.00,stable,-0.6,-3.3,2.1,Lung & Bronchus
Clinch,13065,91.9,64.9,127.2,8.00,stable,-1.5,-4.4,1.5,Lung & Bronchus
Gordon,13129,91.5,81.1,102.9,58.00,stable,0,-1.2,1.1,Lung & Bronchus
Emanuel,13107,89,73.8,106.6,25.00,stable,0.6,-1.7,2.9,Lung & Bronchus
Colquitt,13071,89,77.6,101.5,46.00,stable,0.1,-1.3,1.5,Lung & Bronchus
Pierce,13229,88.9,72.6,108,22.00,stable,-0.6,-3.3,2.2,Lung & Bronchus
Murray,13213,88.9,76.7,102.5,40.00,falling,-2.3,-4,-0.6,Lung & Bronchus
Chattahoochee,13053,88.6,52.6,137.9,4.00,*,*,*,*,Lung & Bronchus
Lee,13177,88.4,72.7,106.4,25.00,stable,1.3,-1.2,3.9,Lung & Bronchus
Franklin,13119,88.4,74.2,104.8,28.00,rising,2.2,0.5,3.9,Lung & Bronchus
Barrow,13013,87.4,77.8,97.9,64.00,stable,0.1,-1.6,1.8,Lung & Bronchus
Taylor,13269,87,64.7,115.5,11.00,stable,0.8,-2.9,4.5,Lung & Bronchus
Chattooga,13055,86.9,73.1,102.8,29.00,stable,0.2,-1.8,2.2,Lung & Bronchus
Haralson,13143,86.8,73.6,101.9,31.00,stable,-0.4,-2.1,1.3,Lung & Bronchus
Wilkinson,13319,86.8,65.6,113.7,12.00,stable,-1.7,-3.7,0.3,Lung & Bronchus
Miller,13201,86.5,59.6,122.6,7.00,stable,-1.1,-4.7,2.6,Lung & Bronchus
Tift,13277,83.3,71.8,96.2,38.00,stable,1,-1.2,3.4,Lung & Bronchus
Madison,13195,83.3,70.7,97.7,32.00,stable,-0.5,-2.3,1.4,Lung & Bronchus
Monroe,13207,83.2,70.1,98.3,30.00,stable,0.8,-1.5,3.3,Lung & Bronchus
Dade,13083,82.6,66.2,102.2,18.00,stable,-0.3,-3,2.3,Lung & Bronchus
Carroll,13045,82.3,75.1,90.1,99.00,stable,0,-0.6,0.6,Lung & Bronchus
Screven,13251,81.9,64.5,103.2,16.00,stable,-0.5,-2.2,1.2,Lung & Bronchus
Bryan,13029,81.9,67.7,98,25.00,stable,-1,-3.9,2,Lung & Bronchus
Berrien,13019,81.4,66.1,99.6,20.00,stable,0.1,-1.8,2,Lung & Bronchus
Warren,13301,81.4,55.8,116.6,7.00,*,*,*,*,Lung & Bronchus
Lanier,13173,81.1,58.1,110.1,9.00,falling,-3.2,-5.8,-0.5,Lung & Bronchus
Bartow,13015,80.7,73.3,88.8,92.00,falling,-1.5,-2.7,-0.2,Lung & Bronchus
Burke,13033,80.7,65.7,98.3,21.00,stable,0.3,-2.2,2.9,Lung & Bronchus
Laurens,13175,80.4,70.5,91.3,49.00,stable,0.4,-1.2,1.9,Lung & Bronchus
Wilcox,13315,79.7,57.9,107.7,9.00,stable,-2.2,-5.1,0.7,Lung & Bronchus
Decatur,13087,79.7,66.7,94.5,27.00,stable,1.3,-1,3.7,Lung & Bronchus
Seminole,13253,79.5,59.1,105.8,11.00,stable,1,-2.3,4.3,Lung & Bronchus
Pickens,13227,79.5,68,92.6,37.00,stable,0,-1.2,1.3,Lung & Bronchus
Cook,13075,79.2,62.9,98.6,17.00,stable,2.3,-0.2,4.9,Lung & Bronchus
Liberty,13179,79.1,67.1,92.5,35.00,stable,-0.7,-2.7,1.2,Lung & Bronchus
Ben Hill,13017,79.1,63,98.3,17.00,falling,-2.4,-4.2,-0.5,Lung & Bronchus
Upson,13293,78.6,66.2,92.9,29.00,stable,0.2,-1.5,2,Lung & Bronchus
Effingham,13103,78.3,67.8,90,44.00,stable,-0.4,-2.1,1.3,Lung & Bronchus
Mitchell,13205,78.2,64.3,94.6,22.00,stable,-1.5,-3.5,0.6,Lung & Bronchus
Pike,13231,78.1,62,97.3,17.00,stable,1.7,-1.4,4.8,Lung & Bronchus
Twiggs,13289,78,58.2,103.8,11.00,stable,-1.4,-4.4,1.8,Lung & Bronchus
Brooks,13027,77.8,62.2,96.6,18.00,stable,-1.4,-4.2,1.6,Lung & Bronchus
Bleckley,13023,77.5,59.4,99.8,13.00,stable,-0.3,-3,2.3,Lung & Bronchus
Jackson,13157,77.4,68.4,87.2,57.00,stable,-0.8,-1.9,0.2,Lung & Bronchus
Toombs,13279,77.2,64.3,92.1,26.00,stable,-1.2,-3.4,1,Lung & Bronchus
Bacon,13005,77.1,57,102.3,10.00,stable,-0.4,-4,3.3,Lung & Bronchus
Thomas,13275,77.1,67.3,88.1,46.00,stable,-1,-3,1,Lung & Bronchus
Baldwin,13009,76.9,66.4,88.5,40.00,stable,-1.2,-2.8,0.4,Lung & Bronchus
Dodge,13091,76.6,62.6,93.1,21.00,stable,-0.8,-3.6,2.2,Lung & Bronchus
Wayne,13305,76.2,63.7,90.5,27.00,stable,-2.4,-4.8,0.1,Lung & Bronchus
Paulding,13223,75.8,68.9,83.1,99.00,falling,-1.5,-2.7,-0.2,Lung & Bronchus
Ware,13299,75.7,64.8,88.1,35.00,stable,-0.5,-2.5,1.5,Lung & Bronchus
Lamar,13171,75.6,60.3,93.8,18.00,stable,-0.6,-3.3,2.1,Lung & Bronchus
Atkinson,13003,75.5,51.9,106.4,7.00,stable,0.6,-2.6,3.9,Lung & Bronchus
Spalding,13255,75.4,67.1,84.5,62.00,stable,-0.3,-1.6,1,Lung & Bronchus
Troup,13285,75.1,66.5,84.5,58.00,stable,-0.9,-2.5,0.8,Lung & Bronchus
Walker,13295,75,67.3,83.4,72.00,falling,-3,-4.3,-1.8,Lung & Bronchus
Lincoln,13181,74.1,53.6,101.3,9.00,stable,-1,-4.9,2.9,Lung & Bronchus
Floyd,13115,74.1,67.3,81.3,91.00,falling,-4.2,-6.8,-1.5,Lung & Bronchus
Jones,13169,73.7,61.7,87.5,28.00,stable,0.8,-1.9,3.6,Lung & Bronchus
Randolph,13243,73.1,49.8,104.4,8.00,stable,1.4,-2,4.8,Lung & Bronchus
Treutlen,13283,73,50,104,7.00,stable,-0.5,-3.9,2.9,Lung & Bronchus
Appling,13001,72.7,58.1,90.2,18.00,stable,0.7,-1.5,3,Lung & Bronchus
Camden,13039,72.6,62.1,84.4,37.00,stable,-1.9,-3.8,0,Lung & Bronchus
Stephens,13257,72.5,60.4,86.6,26.00,stable,-0.3,-2,1.4,Lung & Bronchus
Dawson,13085,72.3,59.1,87.9,23.00,stable,-1.8,-4.8,1.2,Lung & Bronchus
Candler,13043,72.2,53.5,95.9,10.00,stable,0.4,-3.1,4.1,Lung & Bronchus
Towns,13281,72.2,56.4,92.8,17.00,stable,-1.9,-5.1,1.3,Lung & Bronchus
Jasper,13159,72.1,55.3,92.8,13.00,*,*,*,*,Lung & Bronchus
White,13311,72,61.1,84.6,32.00,stable,-0.7,-2.4,1,Lung & Bronchus
Oglethorpe,13221,71.7,56,90.9,15.00,stable,-0.8,-2.9,1.4,Lung & Bronchus
Bibb,13021,71.4,65.9,77.3,130.00,stable,-6.5,-13.4,1,Lung & Bronchus
Terrell,13273,71.1,51.7,96.3,9.00,falling,-3.3,-6.4,-0.2,Lung & Bronchus
Richmond,13245,71.1,66,76.4,152.00,falling,-1.6,-2.4,-0.9,Lung & Bronchus
Newton,13217,70.8,63.5,78.7,73.00,falling,-1.5,-3,-0.1,Lung & Bronchus
Grady,13131,70.4,57.8,85.1,23.00,stable,-0.4,-2.2,1.4,Lung & Bronchus
Houston,13153,70.3,64.3,76.7,106.00,falling,-1.4,-2.4,-0.5,Lung & Bronchus
Lumpkin,13187,70,58.3,83.6,27.00,stable,-2.4,-4.8,0.2,Lung & Bronchus
