State,,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Los Angeles County, California(7,8)",,380.3,378.6,382,39939,falling,-1.9,-2.3,-1.4
"Cook County, Illinois(6,8)",,448.9,446.4,451.4,25748,falling,-1.4,-1.8,-1.1
"Maricopa County, Arizona(6,8)",,394.2,391.6,396.8,17933,falling,-1.3,-1.7,-1
"Harris County, Texas(6,8)",,395.1,392.2,397.9,15735,falling,-2.7,-3.2,-2.1
"San Diego County, California(7,8)",,417.7,414.6,420.8,14412,falling,-1.5,-1.8,-1.2
"Orange County, California(7,8)",,407.5,404.5,410.6,14072,falling,-1,-1.2,-0.9
"Miami-Dade County, Florida(6,8)",,423.1,419.9,426.4,13536,falling,-0.9,-1.2,-0.5
"Kings County, New York(7,8)",,445.7,442,449.3,12044,falling,-0.8,-1.3,-0.3
"Queens County, New York(7,8)",,423.5,420,427.1,11239,falling,-1.1,-1.5,-0.8
"Broward County, Florida(6,8)",,449,445,452.9,10313,falling,-0.8,-1.3,-0.4
"Wayne County, Michigan(7,8)",,503.1,498.7,507.6,10298,falling,-1.4,-1.9,-1
"Riverside County, California(7,8)",,402.8,399.2,406.3,10046,falling,-1,-1.2,-0.8
"King County, Washington(7,8)",,446.8,442.8,450.9,9969,falling,-1.4,-1.9,-0.9
"Suffolk County, New York(7,8)",,536.1,531.2,540.9,9819,falling,-0.4,-0.6,-0.2
"Dallas County, Texas(6,8)",,421.1,417.3,425,9700,stable,-0.6,-1.3,0.1
"Palm Beach County, Florida(6,8)",,442.9,438.7,447.1,9678,stable,-2.7,-5.3,0
"Nassau County, New York(7,8)",,509.9,505,514.8,8862,falling,-1,-1.5,-0.5
"Clark County, Nevada(6,8)",,386.4,382.7,390.1,8804,stable,0,-3.6,3.7
"New York County, New York(7,8)",,454.8,450.4,459.2,8623,falling,-1.2,-1.9,-0.6
"Philadelphia County, Pennsylvania(6,8)",,500.8,495.9,505.8,8258,falling,-2.4,-3.4,-1.4
"Tarrant County, Texas(6,8)",,437.7,433.3,442.1,8096,falling,-1.1,-1.3,-0.9
"Middlesex County, Massachusetts(7,8)",,441.1,436.7,445.6,8027,falling,-1.3,-1.6,-1
"Allegheny County, Pennsylvania(6,8)",,487.8,482.8,492.9,7927,falling,-1.2,-1.7,-0.8
"San Bernardino County, California(7,8)",,401.5,397.5,405.6,7925,falling,-1,-1.3,-0.8
"Cuyahoga County, Ohio(6,8)",,478.6,473.7,483.5,7772,falling,-0.9,-1.4,-0.3
"Santa Clara County, California(7,8)",,386,382.1,389.9,7720,falling,-2,-2.4,-1.6
"Oakland County, Michigan(7,8)",,480.9,475.8,486,7343,falling,-1,-1.2,-0.7
"Pinellas County, Florida(6,8)",,473,467.8,478.2,7148,stable,-0.4,-0.8,0
