County,State,"Age-Adjusted Incidence Rate - cases per 100,000",Average Annual Count,Recent Trend
Los Angeles County, California,380.3,39939,falling
Cook County, Illinois,448.9,25748,falling
Maricopa County, Arizona,394.2,17933,falling
Harris County, Texas,395.1,15735,falling
San Diego County, California,417.7,14412,falling
Orange County, California,407.5,14072,falling
Miami-Dade County, Florida,423.1,13536,falling
Kings County, New York,445.7,12044,falling
Queens County, New York,423.5,11239,falling
Broward County, Florida,449,10313,falling
Wayne County, Michigan,503.1,10298,falling
Riverside County, California,402.8,10046,falling
King County, Washington,446.8,9969,falling
Suffolk County, New York,536.1,9819,falling
Dallas County, Texas,421.1,9700,stable
Palm Beach County, Florida,442.9,9678,stable
Nassau County, New York,509.9,8862,falling
Clark County, Nevada,386.4,8804,stable
New York County, New York,454.8,8623,falling
Philadelphia County, Pennsylvania,500.8,8258,falling
Tarrant County, Texas,437.7,8096,falling
Middlesex County, Massachusetts,441.1,8027,falling
Allegheny County, Pennsylvania,487.8,7927,falling
San Bernardino County, California,401.5,7925,falling
Cuyahoga County, Ohio,478.6,7772,falling
Santa Clara County, California,386,7720,falling
Oakland County, Michigan,480.9,7343,falling
Pinellas County, Florida,473,7148,stable
Bexar County, Texas,393,7118,falling
Hillsborough County, Florida,478,7014,falling
Sacramento County, California,433.3,6900,falling
Alameda County, California,391.5,6829,falling
Erie County, New York,542.4,6402,stable
Bronx County, New York,441.9,6306,falling
St. Louis County, Missouri,473,6053,falling
Westchester County, New York,480.7,5771,falling
Franklin County, Ohio,464.4,5658,falling
Bergen County, New Jersey,472.4,5571,falling
Contra Costa County, California,423.3,5512,falling
Macomb County, Michigan,494.7,5320,falling
Orange County, Florida,422,5262,falling
Fairfield County, Connecticut,468.3,5240,stable
Hartford County, Connecticut,464.2,5173,falling
Duval County, Florida,523.8,5161,stable
New Haven County, Connecticut,474.3,5084,falling
Honolulu County, Hawaii,428.8,5073,stable
Montgomery County, Pennsylvania,484.1,5041,falling
Baltimore County, Maryland,492,5024,stable
Pima County, Arizona,386.9,5007,falling
DuPage County, Illinois,461.2,4918,falling
Milwaukee County, Wisconsin,494.1,4918,stable
Lee County, Florida,417.8,4894,falling
Jefferson County, Kentucky,525.5,4728,falling
Monroe County, New York,504.7,4598,stable
Worcester County, Massachusetts,470.8,4544,falling
Montgomery County, Maryland,381.2,4517,falling
Fulton County, Georgia,467.7,4512,falling
Ocean County, New Jersey,521.2,4511,falling
Shelby County, Tennessee,460.3,4506,stable
Essex County, Massachusetts,462.4,4439,falling
Wake County, North Carolina,459.8,4439,falling
Pierce County, Washington,493.4,4434,falling
Marion County, Indiana,468.7,4431,falling
Hamilton County, Ohio,473.7,4410,falling
Polk County, Florida,491,4338,falling
Middlesex County, New Jersey,460.8,4293,falling
Mecklenburg County, North Carolina,443.3,4274,falling
Brevard County, Florida,471.7,4178,falling
Monmouth County, New Jersey,523.2,4160,stable
Norfolk County, Massachusetts,474.6,4087,falling
Fairfax County, Virginia,342.4,4084,falling
Bucks County, Pennsylvania,490.9,4081,falling
San Francisco County, California,400.2,4032,falling
Snohomish County, Washington,484.5,3990,falling
Salt Lake County, Utah,409,3989,falling
Ventura County, California,417.2,3968,falling
Sarasota County, Florida,475.9,3942,stable
Volusia County, Florida,482.3,3939,rising
Essex County, New Jersey,462.1,3930,falling
Travis County, Texas,391.9,3889,stable
Prince Georges County, Maryland,409.8,3838,stable
Oklahoma County, Oklahoma,466.5,3759,falling
San Mateo County, California,415.3,3750,falling
Multnomah County, Oregon,458,3743,falling
Pasco County, Florida,505.8,3736,falling
Fresno County, California,402.8,3674,falling
Jackson County, Missouri,457.5,3554,stable
Jefferson County, Alabama,452.6,3496,falling
Gwinnett County, Georgia,452.8,3487,stable
Delaware County, Pennsylvania,506,3445,falling
Lake County, Illinois,451.4,3442,falling
Will County, Illinois,491.9,3425,falling
Cobb County, Georgia,472.3,3394,falling
Collin County, Texas,402.3,3374,falling
Providence County, Rhode Island,463.8,3359,falling
Tulsa County, Oklahoma,481.4,3284,stable
Baltimore City, Maryland,489.5,3263,stable
DeKalb County, Georgia,451.2,3249,falling
Plymouth County, Massachusetts,486.3,3187,falling
Suffolk County, Massachusetts,428.9,3178,falling
Montgomery County, Ohio,467.7,3146,stable
Kern County, California,404.5,3137,falling
Camden County, New Jersey,524.6,3123,falling
Summit County, Ohio,452.6,3120,falling
El Paso County, Texas,394.3,3104,falling
New Castle County, Delaware,484,3073,falling
Lancaster County, Pennsylvania,459.8,3054,falling
Marion County, Florida,514,3044,falling
Bristol County, Massachusetts,437.6,3030,falling
Morris County, New Jersey,487.9,3030,falling
Bernalillo County, New Mexico,389.7,3018,falling
Davidson County, Tennessee,449.9,3013,stable
Richmond County, New York,528.5,2965,stable
San Joaquin County, California,413.5,2964,stable
Onondaga County, New York,517.3,2962,falling
Burlington County, New Jersey,527.8,2956,falling
Anne Arundel County, Maryland,462.3,2937,falling
Chester County, Pennsylvania,477.9,2933,falling
District of Columbia,,429.1,2837,falling
Sonoma County, California,431.8,2832,falling
El Paso County, Colorado,422.4,2824,falling
Guilford County, North Carolina,481,2810,stable
Union County, New Jersey,453.7,2802,falling
Kent County, Michigan,421.2 #  ,2802,falling
Jefferson County, Colorado,407.6,2789,falling
Lake County, Florida,510.6,2758,falling
