Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Current Landfill Status
1994,Anchorage Regional Landfill,AK,15500 E. Eagle River Loop Road,Eagle River,Anchorage,99577,61.293281,-149.602138,Public,"Municipality of Anchorage, AK",1987,Open
11941,Capitol Disposal Landfill,AK,5600 Tonsgard Court,Juneau,Juneau,99801,58.3528,-134.4947,Private,"Waste Management, Inc.",1965,Open
12216,Central Peninsula Landfill (CPL),AK,46915 Sterling Highway,Soldotna,Kenai Peninsula,99669,60.44714,-151.10369,Public,"Kenai Peninsula Borough, AK",1969,Open
10960,Kodiak Island Borough Landfill,AK,1203 Monashka Bay Road,Kodiak,Kodiak Island,99615,57.80874,-152.40761,Public,"Kodiak Island Borough, AK",,Closed
11020,Merrill Field Landfill,AK,800 Merrill Field Drive,Anchorage,Anchorage,99501,61.21266,-149.84012,Public,"Municipality of Anchorage, AK",1960,Closed
10980,Palmer Central Landfill,AK,"1201 N. 49th State Street
Just off the Palmer-Wasilla Highway",Palmer,Matanuska-Susitna,99645,61.59,-149.21,Public,"Matanuska-Susitna Borough, AK",1980,Open
10961,South Cushman Landfill,AK,455 Sanduri Street,Fairbanks,Fairbanks North Star,99701,64.80476,-147.70085,Public,"Fairbanks North Star Borough, AK",1963,Open
11000,Unalaska Landfill,AK,1181 Summer Bay Road,Unalaska,Aleutians West,99685,53.88463,-166.50657,Public,City of Unalaska,1970,Closed
23,Advanced Disposal Cedar Hill Landfill,AL,1319 N. Business Creek Road,Ragland,St. Clair,35131,33.68345,-86.25272,Private,Advanced Disposal Services,1975,Open
7,Advanced Disposal Star Ridge Landfill,AL,3301 Acmar Road,Moody,St. Clair,35004,33.60527,-86.51658,Private,Advanced Disposal Services,1983,Open
10860,Arrowhead Landfill,AL,"On Cahaba Road
Entrance at 626 Tayloe Road",Uniontown,Perry,36786,32.413,-87.4685,Private,"Green Group Holdings, LLC",2007,Open
27,Athens/Limestone County SLF MSWLF,AL,"Strain Road
off Highway 31",Athens,Limestone,35611,34.7634,-86.9399,Public,"City of Athens, AL",1972,Closed
16,Bishop Landfill Company,AL,379 Pleasant Grove Cutoff Road,Albertville,Marshall,35950,34.27823,-86.33707,Private,Bishop Landfill Company,1968,Closed
2005,Black Warrior Solid Waste Facility,AL,3301 Landfill Drive,Coker,Tuscaloosa,35452,33.24314,-87.66585,Public,"Black Warrior Solid Waste Disposal Authority, AL",1997,Open
2006,Blount County/Nectar/Hayden LF & TS,AL,2390 Armstrong Loop,Hayden,Blount,35079,33.8888,-86.712,Public,"Blount County, AL",1980,Closed
2408,Brundidge Landfill,AL,515 Cleanwater Drive,Brundidge,Pike,36010,31.7041,-85.8299,Private,Brundidge Acquisitions,1991,Open
6,Calhoun County SLF,AL,3625 Morrisville Road,Anniston,Calhoun,36201,33.675,-85.92,Public,"Calhoun County Commission, AL",1969,Closed
8,Chastang SLF,AL,17045 Highway 43,Mt. Vernon,Mobile,36560,31.06179,-88.02503,Public,"City of Mobile, AL",1976,Open
2409,Chilton County Landfill,AL,300 Industrial Drive,Thorsby,Chilton,35171,32.9285,-86.7405,Private,"Republic Services, Inc.",,Closed
2,City of Decatur-Morgan County Regional MSW Landfill,AL,500 Landfill Drive,Trinity,Morgan,35673,34.6175,-87.10163,Public,"City of Decatur, AL; Morgan County, AL",1980,Open
19,City of Dothan SLF MSWLF,AL,1290 Burkett Road,Dothan,Houston,36303,31.238766,-85.356721,Public,"City of Dothan, AL",1977,Open
9,Coffee County Sanitary Landfill,AL,7733 Highway 125,Elba,Coffee,36323,31.507053,-86.000975,Public,"Coffee County Commission, AL",1993,Open
3,Cullman County SLF,AL,"Highway 69
near Cold Springs",,Cullman,,,,Public,"Cullman County Commission, AL",1974,Closed
4,Cullman Environmental Waste Management Center,AL,2805 AL Highway 69 South,Cullman,Cullman,35057,34.02878,-86.90069,Private,"Cullman Environmental, Inc.",1993,Open
15,Eastern Area Landfill,AL,2787 Alton Drive,Birmingham,Jefferson,35210,33.5978,-86.6288,Public,"City of Birmingham, AL",1974,Open
35,Florence SLF MSWLF,AL,"29485 Waterloo Road & Savannah Highway
State Highway 20",Florence,Lauderdale,35630,34.806005,-87.714765,Public,"City of Florence Public Works, AL",1988,Closed
34,Florence SLF MSWLF (Old),AL,Irvine Avenue,Florence,Lauderdale,35630,34.803,-87.7058,Private,Hensley-Graves Holdings LLC,1972,Closed
11,Huntsville MSWLF,AL,4100 Leeman Ferry Road SW,Huntsville,Madison,35804,34.6885,-86.592,Public,City of Huntsville S.W. Disposal Authority,1946,Open
10,Irvington SLF,AL,7195 Half Mile Road,Irvington,Mobile,36544,30.490688,-88.210629,Public,Mobile County Commission,1974,Closed
25,Jefferson County LF No. 1,AL,101 Barber Boulevard,Gardendale,Jefferson,35071,33.711,-86.873,Public,"Jefferson County, AL",1969,Open
13,Jefferson County LF No. 2,AL,7035 Narrows Road,Pinson,Jefferson,35126,33.7077,-86.7104,Public,"Jefferson County, AL",1982,Open
20,Magnolia Subtitle D MSW LF,AL,15140 County Road 49,Summerdale,Baldwin,36580,30.45727,-87.7761,Public,"Baldwin County, AL",1997,Open
31,Monroe County SLF,AL,,Monroeville,Monroe,,31.59573,-87.33187,Public,"Monroe County Commission, AL",1982,Closed
2011,Morris Farm Landfill,AL,4 County Road 418,Hillsboro,Lawrence,35643,34.70381,-87.22116,Private,"Republic Services, Inc.",1997,Open
14,New Georgia MSWLF,AL,2800 47th Avenue North,Birmingham,Jefferson,35207,33.585,-86.815,Public,"City of Birmingham, AL",1970,Open
18,North Montgomery SLF MSWLF,AL,115 Division Street,Montgomery,Montgomery,36104,32.4131,-86.3245,Public,"City of Montgomery, AL",1969,Open
22,Pine View SLF MSWLF,AL,2730 Bryan Road,Dora,Walker,35062,33.71458,-87.04981,Private,"Republic Services, Inc.",1993,Open
17,Salem Landfill,AL,4210 Lee Road 183,Opelika,Lee,36804,32.65347,-85.2636,Private,"Waste Management, Inc.",1985,Open
2410,Sand Valley Landfill,AL,3345 County Road 209,Collinsville,DeKalb,35961,34.342,-85.862,Private,"Republic Services, Inc.",1997,Open
30,Saraland SLF,AL,,,Mobile,,,,Public,"City of Saraland, AL",1969,Closed
11821,Scottsboro Landfill,AL,650 County Road 412,Hollywood,Jackson,35768,34.756,-85.919,Public,"City of Scottsboro, AL",1970,Closed
12,Shannon SLF,AL,2785 Shannon Oxmoor Road,Birmingham,Jefferson,35211,33.42488,-86.85479,Public,"Jefferson County, AL",1972,Closed
5,Shelby County Highway 70 Landfill,AL,"4154 Highway 70
401 Landfill Road",Columbiana,Shelby,35051,33.171785,-86.687566,Public,"Shelby County, AL",1997,Open
32,Shoals Solid Waste Disposal Authority (SSWDA) LF,AL,2015 Missouri Street Highway 43 S,Tuscumbia,Colbert,35674,34.694,-87.6609,Public,"Shoals Solid Waste Disposal Authority, AL",1967,Open
11581,"Stones Throw Landfill, LLC",AL,1303 Washington Boulevard,Tallassee,Tallapoosa,36078,32.5154,-85.8311,Private,Advanced Disposal Services,1982,Open
2204,Three Corners Landfill,AL,2205 County Road 6,Piedmont,Cherokee,36272,33.9962,-85.7254,Private,Advanced Disposal Services,1998,Open
21,Timberlands Landfill,AL,22800 Highway 41,Brewton,Escambia,36426,31.2593,-87.1923,Private,Escambia County Environmental Corp.,1993,Open
11982,"Turkey Trot Landfill, LLC",AL,2328 Mannish Ryan Road,Citronelle,Washington,36522,31.15848,-88.19,Private,Advanced Disposal Services,2010,Open
33,Valley View SLF,AL,,Stevenson,Jackson,35772,,,Private,"Waste Management, Inc.",1979,Closed
2015,Walker County Landfill (Carbon Hill),AL,,Jasper,Walker,,33.875,-87.2465,Public,"Walker County, AL",,Closed
2009,Willow Ridge Landfill,AL,10512 Highway 13,Haleyville,Winston,35565,34.17569,-87.60779,Public,Haleyville Solid Waste Disposal Authority,1983,Open
11542,Ashley County Landfill,AR,309 Ashley 438 Road,Hamburg,Ashley,71646,33.212,-91.84759,Public,"Ashley County, AR",,Open
11544,City of Conway Landfill,AR,4550 Highway 64 West,Conway,Faulkner,72032,35.1119,-92.5068,Public,"City of Conway, AR",1991,Open
11547,City of Helena - West Helena Regional LF,AR,1448 B Phillips Highway 217,West Helena,Phillips,72390,34.56726,-90.629,Public,"City of Helena - West Helena, AR",,Open
11541,City of Hope Landfill,AR,3759 Highway 67 West,Hope,Hempstead,71801,33.6422,-93.6781,Public,"City of Hope, AR",,Open
11546,City of Morrilton Landfill,AR,51 Dump Road,Morrilton,Conway,72110,35.1297,-92.6976,Public,"City of Morrilton, AR",1994,Open
2291,Craighead County Solid Waste Disposal Authority LF,AR,238 County Road 476,Jonesboro,Craighead,72404,35.719434,-90.68862,Public,Craighead County Solid Waste Disposal Authority,1991,Open
10500,Crittenden County Sanitary Landfill,AR,1299 Kuhn Road,West Memphis,Crittenden,72301,35.13597,-90.25606,Public,"Crittenden County, AR",1989,Open
2282,Eco-Vista Landfill,AR,2210 Waste Management Drive,Springdale,Washington,72762,36.140147,-94.256073,Private,"Waste Management, Inc.",1980,Open
11441,EMS Class 1 Landfill,AR,203 Possum Waller Road,DeWitt,Arkansas,72042,34.311,-91.272,Private,Eaton-Moery Environmental Services,,Open
2052,Fort Smith SLF,AR,5900 Commerce Road,Fort Smith,Sebastian,72916,35.2926,-94.3704,Public,"City of Fort Smith Department of Sanitation, AR",1981,Open
11550,IESI Cherokee Village Landfill,AR,100 Landfill Road,Cherokee Village,Fulton,72529,36.28126,-91.63128,Private,"Waste Connections, Inc.",1975,Open
11442,Jackson County Landfill,AR,2069 Jackson CR-265,Amagon,Jackson,72005,35.5894,-91.0922,Public,"Jackson County, AR",,Open
2283,Jefferson County Landfill,AR,6000 Gravel Pit Road,White Hall,Jefferson,71602,34.34676,-92.19214,Private,"Waste Management, Inc.",1992,Open
2093,Little Rock City SW Landfill,AR,10803 Ironton Cut Off Road,Little Rock,Pulaski,72206,34.65129,-92.30241,Public,"City of Little Rock, AR",1976,Open
11421,Mississippi County LF,AR,1695 East CR-506,Luxora,Mississippi,72358,35.78,-89.97,Public,"Mississippi County, AR",1980,Closed
2293,Modelfill Landfill,AR,3817 Mabelvale Pike,Little Rock,Pulaski,72204,34.7124,-92.3318,Private,"Republic Services, Inc.",1980,Closed
11543,NABORS Landfill,AR,1320 RLH Landfill Road,Mountain Home,Baxter,72653,36.4639,-92.45196,Public,Northwest AR RSWMD,,Closed
11280,Northeast AR RSWMD Landfill Phases 2 & 3,AR,1810 Greene 890 Road,Paragould,Greene,72450,36.085,-90.4539,Public,Northeast AR RSWMD,1979,Open
2284,Ozark Ridge Landfill,AR,"10140 Ozark Ridge Access Lane
County Road 47 (South New Hope Road) and Hwy 7",Danville,Yell,72833,35.09,-93.2079,Private,"Waste Management, Inc.",1986,Open
11545,"Rolling Meadows Landfill, Inc.",AR,1420 Hamric Road,Hazen,Prairie,72064,34.8476,-91.59002,Private,WCA Waste Corporation,1991,Open
